"job_id","source","source_url","collection_date","source_job_id","date_posted","original_title","job_title","career_category","seniority_level","company","location","work_mode","employment_type","original_experience","experience_min","experience_max","original_salary","salary_min","salary_max","currency","is_synthetic","posting_year","posting_month","posting_quarter","posting_year_quarter","posting_year_month","is_entry_level","experience_band","salary_disclosed","salary_midpoint","salary_band_lkr","salary_band_usd","skill_count","skill_names_concat","has_prog_lang","has_cloud_devops","has_framework","has_database"
"SYN_00001","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2024-10-30","Cyber Security Intern - Trainee / Intern","Cyber Security Intern - Trainee / Intern","Cyber Security","Intern","Axiata Digital Labs","Colombo","Hybrid","Internship","0-1 year or Undergraduate",0,1,"LKR 60,000 - 84,000",60000,84000,"LKR",TRUE,2024,10,"Q4","2024-Q4","2024-10",TRUE,"0-1 Years (Entry/Junior)",TRUE,72000,"< 150k LKR","Undisclosed / Non-USD",3,"Linux; Vulnerability Assessment; ISO 27001",FALSE,FALSE,FALSE,FALSE
"SYN_00002","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2024-08-16","QA Lead","QA Lead","QA & Test Automation","Mid","LSEG Sri Lanka","Colombo","Hybrid","Full-time","Minimum 2+ years experience",2,5,"LKR 360,000 - 486,000",360000,486000,"LKR",TRUE,2024,8,"Q3","2024-Q3","2024-08",FALSE,"2-4 Years (Mid-Level)",TRUE,423000,"300k - 500k LKR","Undisclosed / Non-USD",5,"Java; Cypress; Postman; JIRA; Manual Testing",TRUE,FALSE,FALSE,FALSE
"SYN_00003","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2025-01-13","Associate Senior Software Engineer","Associate Senior Software Engineer","Software Engineering","Junior","WSO2","Colombo","Hybrid","Full-time","0-2 years relevant experience",0,2,"Competitive Package",NA,NA,NA,TRUE,2025,1,"Q1","2025-Q1","2025-01",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"C#; TypeScript; MySQL; .NET",TRUE,FALSE,TRUE,TRUE
"SYN_00004","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-01-01","ML / AI Engineer","ML / AI Engineer","Data & AI / ML","Junior","Virtusa Sri Lanka","Remote","Remote","Full-time","1-2 years relevant experience",1,2,"Competitive Package",NA,NA,NA,TRUE,2016,1,"Q1","2016-Q1","2016-01",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",6,"TensorFlow; SQL; Pandas; PySpark; Python; PyTorch",TRUE,FALSE,TRUE,TRUE
"SYN_00005","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2022-04-09","Associate Associate Software Engineer","Associate Associate Software Engineer","Software Engineering","Junior","DirectFN","Colombo","Remote","Full-time","1-3 years relevant experience",1,3,"Competitive Package",NA,NA,NA,TRUE,2022,4,"Q2","2022-Q2","2022-04",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Docker; PostgreSQL; MySQL; .NET",FALSE,TRUE,TRUE,TRUE
"SYN_00006","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-06-12","Senior UI/UX Designer","Senior UI/UX Designer","UI/UX & Product Design","Mid","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","Minimum 3+ years experience",3,6,"Negotiable",NA,NA,NA,TRUE,2019,6,"Q2","2019-Q2","2019-06",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Figma; Wireframes; Design Tokens; Interactive Prototypes; User Research",FALSE,FALSE,FALSE,FALSE
"SYN_00007","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-05-16","Associate UI/UX Intern","Associate UI/UX Intern","UI/UX & Product Design","Junior","MillenniumIT ESP","Kandy","On-site","Full-time","0-2 years relevant experience",0,2,"Attractive Remuneration",NA,NA,NA,TRUE,2019,5,"Q2","2019-Q2","2019-05",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Design Systems; Wireframes; Interactive Prototypes; Figma",FALSE,FALSE,FALSE,FALSE
"SYN_00008","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-08-24","Technical PM","Technical PM","Management & Business Analysis","Junior","Axiata Digital Labs","Kandy","On-site","Full-time","1-3 years relevant experience",1,3,"Competitive Package",NA,NA,NA,TRUE,2016,8,"Q3","2016-Q3","2016-08",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Requirements Analysis; Sprint Planning; SQL; JIRA",FALSE,FALSE,FALSE,TRUE
"SYN_00009","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2021-11-24","Backend Engineer","Backend Engineer","Software Engineering","Mid","DirectFN","Colombo","On-site","Full-time","Minimum 2+ years experience",2,5,"LKR 280,000 - 392,000",280000,392000,"LKR",TRUE,2021,11,"Q4","2021-Q4","2021-11",FALSE,"2-4 Years (Mid-Level)",TRUE,336000,"300k - 500k LKR","Undisclosed / Non-USD",5,"Java; PostgreSQL; REST API; MySQL; Node.js",TRUE,FALSE,TRUE,TRUE
"SYN_00010","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-11-29","Junior Data Analyst","Junior Data Analyst","Data & AI / ML","Junior","MillenniumIT ESP","Remote","Hybrid","Full-time","1-2 years relevant experience",1,2,"Negotiable",NA,NA,NA,TRUE,2019,11,"Q4","2019-Q4","2019-11",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",3,"Python; Power BI; SQL",TRUE,FALSE,FALSE,TRUE
