job_id,source,source_url,collection_date,source_job_id,date_posted,original_title,job_title,career_category,seniority_level,company,location,work_mode,employment_type,original_experience,experience_min,experience_max,original_salary,salary_min,salary_max,currency,is_synthetic
REAL_00001,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984321,2026-08-20,TJ-984321,2026-08-15,"Senior Software Engineer - Java / Spring Boot","Senior Software Engineer","Software Engineering","Senior","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","5+ years of software engineering experience",5,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00002,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984322,2026-08-20,TJ-984322,2026-08-14,"Associate QA Automation Engineer","Associate QA Engineer","QA & Test Automation","Junior","99x","Colombo","Hybrid","Full-time","1 - 2 years in test automation with Selenium/Cypress",1,2,"Market Standard",NA,NA,NA,FALSE
REAL_00003,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021001,2026-08-21,LI-3984021001,2026-08-18,"DevOps / Cloud Engineer (AWS / Terraform)","DevOps Engineer","Cloud & DevOps","Mid","IFS Sri Lanka","Colombo","Hybrid","Full-time","3-5 years experience with AWS and Kubernetes",3,5,"Competitive Package",NA,NA,NA,FALSE
REAL_00004,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021002,2026-08-21,LI-3984021002,2026-08-17,"Data Scientist (NLP / LLM Applications)","Data Scientist","Data & AI / ML","Mid","Octave (John Keells Holdings)","Colombo","On-site","Full-time","2 to 4 years experience in Python & Machine Learning",2,4,"LKR 300,000 - 450,000 per month",300000,450000,"LKR",FALSE
REAL_00005,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984325,2026-08-21,TJ-984325,2026-08-16,"UI/UX Product Designer","UI/UX Designer","UI/UX & Product Design","Mid","Calcey Technologies","Colombo","Hybrid","Full-time","Minimum 3 years experience in Figma",3,NA,"USD 800 - 1400 (Pegged)",800,1400,"USD",FALSE
REAL_00006,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984326,2026-08-21,TJ-984326,2026-08-12,"Information Security Analyst (SOC / SIEM)","Information Security Analyst","Cyber Security","Junior","MillenniumIT ESP","Colombo","On-site","Full-time","1-3 years in SOC operations",1,3,"Attractive Remuneration",NA,NA,NA,FALSE
REAL_00007,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021007,2026-08-22,LI-3984021007,2026-08-19,"Lead Full-Stack Engineer (React / Node / Postgres)","Lead Full Stack Developer","Software Engineering","Lead","Rootcode","Colombo","Remote","Full-time","6+ years in full-stack architecture",6,NA,"LKR 550,000 - 750,000",550000,750000,"LKR",FALSE
REAL_00008,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984328,2026-08-22,TJ-984328,2026-08-10,"Software Engineering Intern - Frontend","Software Engineering Intern","Software Engineering","Intern","WSO2","Colombo","Hybrid","Internship","Undergraduate in Computer Science / Software Eng (0 yrs)",0,1,"Monthly Allowance LKR 50,000",50000,50000,"LKR",FALSE
REAL_00009,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984329,2026-08-22,TJ-984329,2026-08-15,"Senior Business Analyst - Fintech","Senior Business Analyst","Management & Business Analysis","Senior","DirectFN","Colombo","On-site","Full-time","5+ years as BA in capital markets or banking",5,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00010,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021010,2026-08-22,LI-3984021010,2026-08-18,"Systems & Network Administrator","Systems Administrator","IT Systems & Infrastructure","Mid","Dialog Axiata","Colombo","On-site","Full-time","3 years in Cisco networking and Linux servers",3,NA,"Market rate",NA,NA,NA,FALSE
REAL_00011,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984331,2026-08-22,TJ-984331,2026-08-13,"Software Engineer (.NET Core / Angular)","Software Engineer","Software Engineering","Mid","Creative Software","Colombo","Hybrid","Full-time","2-4 years experience in C# .NET Core",2,4,"Attractive Salary Package",NA,NA,NA,FALSE
